"","X1","X2"
"933","2018_1196_1371",NA
"934","2018_1196_1372",NA
"935","2018_1196_1382",NA
"936","2018_1196_1393",NA
"937","2018_1196_1395",NA
"938","2018_1196_1397",NA
"939","2018_1196_1400",NA
"940","2018_1196_1401",NA
"941","2018_1196_1403",NA
"942","2018_1196_1411",NA
"943","2018_1196_1417",NA
"944","2018_1196_1420",NA
"945","2018_1196_1422",NA
"946","2018_1196_1437",NA
"947","2018_1196_1438",NA
"948","2018_1196_1439",NA
"949","2018_1196_1452",NA
"950","2018_1196_1455",NA
"951","2018_1196_1460",NA
"952","2018_1196_1462",NA
"953","2018_1199_1209",NA
"954","2018_1199_1211",NA
"955","2018_1199_1222",NA
"956","2018_1199_1233",NA
"957","2018_1199_1242",NA
"958","2018_1199_1243",NA
"959","2018_1199_1246",NA
"960","2018_1199_1252",NA
"961","2018_1199_1254",NA
"962","2018_1199_1260",NA
"963","2018_1199_1267",NA
"964","2018_1199_1274",NA
"965","2018_1199_1276",NA
"966","2018_1199_1277",NA
"967","2018_1199_1281",NA
"968","2018_1199_1285",NA
"969","2018_1199_1293",NA
"970","2018_1199_1300",NA
"971","2018_1199_1301",NA
"972","2018_1199_1305",NA
"973","2018_1199_1308",NA
"974","2018_1199_1314",NA
"975","2018_1199_1326",NA
"976","2018_1199_1328",NA
"977","2018_1199_1335",NA
"978","2018_1199_1344",NA
"979","2018_1199_1345",NA
"980","2018_1199_1347",NA
"981","2018_1199_1348",NA
"982","2018_1199_1355",NA
"983","2018_1199_1361",NA
"984","2018_1199_1371",NA
"985","2018_1199_1372",NA
"986","2018_1199_1382",NA
"987","2018_1199_1393",NA
"988","2018_1199_1395",NA
"989","2018_1199_1397",NA
"990","2018_1199_1400",NA
"991","2018_1199_1401",NA
"992","2018_1199_1403",NA
"993","2018_1199_1411",NA
"994","2018_1199_1417",NA
"995","2018_1199_1420",NA
"996","2018_1199_1422",NA
"997","2018_1199_1437",NA
"998","2018_1199_1438",NA
"999","2018_1199_1439",NA
"1000","2018_1199_1452",NA
"1001","2018_1199_1455",NA
"1002","2018_1199_1460",NA
"1003","2018_1199_1462",NA
"1004","2018_1209_1211",NA
"1005","2018_1209_1222",NA
"1006","2018_1209_1233",NA
"1007","2018_1209_1242",NA
"1008","2018_1209_1243",NA
"1009","2018_1209_1246",NA
"1010","2018_1209_1252",NA
"1011","2018_1209_1254",NA
"1012","2018_1209_1260",NA
"1013","2018_1209_1267",NA
"1014","2018_1209_1274",NA
"1015","2018_1209_1276",NA
"1016","2018_1209_1277",NA
"1017","2018_1209_1281",NA
"1018","2018_1209_1285",NA
"1019","2018_1209_1293",NA
"1020","2018_1209_1300",NA
"1021","2018_1209_1301",NA
"1022","2018_1209_1305",NA
"1023","2018_1209_1308",NA
"1024","2018_1209_1314",NA
"1025","2018_1209_1326",NA
"1026","2018_1209_1328",NA
"1027","2018_1209_1335",NA
"1028","2018_1209_1344",NA
"1029","2018_1209_1345",NA
"1030","2018_1209_1347",NA
"1031","2018_1209_1348",NA
"1032","2018_1209_1355",NA
"1033","2018_1209_1361",NA
"1034","2018_1209_1371",NA
"1035","2018_1209_1372",NA
"1036","2018_1209_1382",NA
"1037","2018_1209_1393",NA
"1038","2018_1209_1395",NA
"1039","2018_1209_1397",NA
"1040","2018_1209_1400",NA
"1041","2018_1209_1401",NA
"1042","2018_1209_1403",NA
"1043","2018_1209_1411",NA
"1044","2018_1209_1417",NA
"1045","2018_1209_1420",NA
"1046","2018_1209_1422",NA
"1047","2018_1209_1437",NA
"1048","2018_1209_1438",NA
"1049","2018_1209_1439",NA
"1050","2018_1209_1452",NA
"1051","2018_1209_1455",NA
"1052","2018_1209_1460",NA
"1053","2018_1209_1462",NA
"1054","2018_1211_1222",NA
"1055","2018_1211_1233",NA
"1056","2018_1211_1242",NA
"1057","2018_1211_1243",NA
"1058","2018_1211_1246",NA
"1059","2018_1211_1252",NA
"1060","2018_1211_1254",NA
"1061","2018_1211_1260",NA
"1062","2018_1211_1267",NA
"1063","2018_1211_1274",NA
"1064","2018_1211_1276",NA
"1065","2018_1211_1277",NA
"1066","2018_1211_1281",NA
"1067","2018_1211_1285",NA
"1068","2018_1211_1293",NA
"1069","2018_1211_1300",NA
"1070","2018_1211_1301",NA
"1071","2018_1211_1305",NA
"1072","2018_1211_1308",NA
"1073","2018_1211_1314",NA
"1074","2018_1211_1326",NA
"1075","2018_1211_1328",NA
"1076","2018_1211_1335",NA
"1077","2018_1211_1344",NA
"1078","2018_1211_1345",NA
"1079","2018_1211_1347",NA
"1080","2018_1211_1348",NA
"1081","2018_1211_1355",NA
"1082","2018_1211_1361",NA
"1083","2018_1211_1371",NA
"1084","2018_1211_1372",NA
"1085","2018_1211_1382",NA
"1086","2018_1211_1393",NA
"1087","2018_1211_1395",NA
"1088","2018_1211_1397",NA
"1089","2018_1211_1400",NA
"1090","2018_1211_1401",NA
"1091","2018_1211_1403",NA
"1092","2018_1211_1411",NA
"1093","2018_1211_1417",NA
"1094","2018_1211_1420",NA
"1095","2018_1211_1422",NA
"1096","2018_1211_1437",NA
"1097","2018_1211_1438",NA
"1098","2018_1211_1439",NA
"1099","2018_1211_1452",NA
"1100","2018_1211_1455",NA
"1101","2018_1211_1460",NA
"1102","2018_1211_1462",NA
"1103","2018_1222_1233",NA
"1104","2018_1222_1242",NA
"1105","2018_1222_1243",NA
"1106","2018_1222_1246",NA
"1107","2018_1222_1252",NA
"1108","2018_1222_1254",NA
"1109","2018_1222_1260",NA
"1110","2018_1222_1267",NA
"1111","2018_1222_1274",NA
"1112","2018_1222_1276",NA
"1113","2018_1222_1277",NA
"1114","2018_1222_1281",NA
"1115","2018_1222_1285",NA
"1116","2018_1222_1293",NA
"1117","2018_1222_1300",NA
"1118","2018_1222_1301",NA
"1119","2018_1222_1305",NA
"1120","2018_1222_1308",NA
"1121","2018_1222_1314",NA
"1122","2018_1222_1326",NA
"1123","2018_1222_1328",NA
"1124","2018_1222_1335",NA
"1125","2018_1222_1344",NA
"1126","2018_1222_1345",NA
"1127","2018_1222_1347",NA
"1128","2018_1222_1348",NA
"1129","2018_1222_1355",NA
"1130","2018_1222_1361",NA
"1131","2018_1222_1371",NA
"1132","2018_1222_1372",NA
"1133","2018_1222_1382",NA
"1134","2018_1222_1393",NA
"1135","2018_1222_1395",NA
"1136","2018_1222_1397",NA
"1137","2018_1222_1400",NA
"1138","2018_1222_1401",NA
"1139","2018_1222_1403",NA
"1140","2018_1222_1411",NA
"1141","2018_1222_1417",NA
"1142","2018_1222_1420",NA
"1143","2018_1222_1422",NA
"1144","2018_1222_1437",NA
"1145","2018_1222_1438",NA
"1146","2018_1222_1439",NA
"1147","2018_1222_1452",NA
"1148","2018_1222_1455",NA
"1149","2018_1222_1460",NA
"1150","2018_1222_1462",NA
"1151","2018_1233_1242",NA
"1152","2018_1233_1243",NA
"1153","2018_1233_1246",NA
"1154","2018_1233_1252",NA
"1155","2018_1233_1254",NA
"1156","2018_1233_1260",NA
"1157","2018_1233_1267",NA
"1158","2018_1233_1274",NA
"1159","2018_1233_1276",NA
"1160","2018_1233_1277",NA
"1161","2018_1233_1281",NA
"1162","2018_1233_1285",NA
"1163","2018_1233_1293",NA
"1164","2018_1233_1300",NA
"1165","2018_1233_1301",NA
"1166","2018_1233_1305",NA
"1167","2018_1233_1308",NA
"1168","2018_1233_1314",NA
"1169","2018_1233_1326",NA
"1170","2018_1233_1328",NA
"1171","2018_1233_1335",NA
"1172","2018_1233_1344",NA
"1173","2018_1233_1345",NA
"1174","2018_1233_1347",NA
"1175","2018_1233_1348",NA
"1176","2018_1233_1355",NA
"1177","2018_1233_1361",NA
"1178","2018_1233_1371",NA
"1179","2018_1233_1372",NA
"1180","2018_1233_1382",NA
"1181","2018_1233_1393",NA
"1182","2018_1233_1395",NA
"1183","2018_1233_1397",NA
"1184","2018_1233_1400",NA
"1185","2018_1233_1401",NA
"1186","2018_1233_1403",NA
"1187","2018_1233_1411",NA
"1188","2018_1233_1417",NA
"1189","2018_1233_1420",NA
"1190","2018_1233_1422",NA
"1191","2018_1233_1437",NA
"1192","2018_1233_1438",NA
"1193","2018_1233_1439",NA
"1194","2018_1233_1452",NA
"1195","2018_1233_1455",NA
"1196","2018_1233_1460",NA
"1197","2018_1233_1462",NA
"1198","2018_1242_1243",NA
"1199","2018_1242_1246",NA
"1200","2018_1242_1252",NA
"1201","2018_1242_1254",NA
"1202","2018_1242_1260",NA
"1203","2018_1242_1267",NA
"1204","2018_1242_1274",NA
"1205","2018_1242_1276",NA
"1206","2018_1242_1277",NA
"1207","2018_1242_1281",NA
"1208","2018_1242_1285",NA
"1209","2018_1242_1293",NA
"1210","2018_1242_1300",NA
"1211","2018_1242_1301",NA
"1212","2018_1242_1305",NA
"1213","2018_1242_1308",NA
"1214","2018_1242_1314",NA
"1215","2018_1242_1326",NA
"1216","2018_1242_1328",NA
"1217","2018_1242_1335",NA
"1218","2018_1242_1344",NA
"1219","2018_1242_1345",NA
"1220","2018_1242_1347",NA
"1221","2018_1242_1348",NA
"1222","2018_1242_1355",NA
"1223","2018_1242_1361",NA
"1224","2018_1242_1371",NA
"1225","2018_1242_1372",NA
"1226","2018_1242_1382",NA
"1227","2018_1242_1393",NA
"1228","2018_1242_1395",NA
"1229","2018_1242_1397",NA
"1230","2018_1242_1400",NA
"1231","2018_1242_1401",NA
"1232","2018_1242_1403",NA
"1233","2018_1242_1411",NA
"1234","2018_1242_1417",NA
"1235","2018_1242_1420",NA
"1236","2018_1242_1422",NA
"1237","2018_1242_1437",NA
"1238","2018_1242_1438",NA
"1239","2018_1242_1439",NA
"1240","2018_1242_1452",NA
"1241","2018_1242_1455",NA
"1242","2018_1242_1460",NA
"1243","2018_1242_1462",NA
"1244","2018_1243_1246",NA
"1245","2018_1243_1252",NA
"1246","2018_1243_1254",NA
"1247","2018_1243_1260",NA
"1248","2018_1243_1267",NA
"1249","2018_1243_1274",NA
"1250","2018_1243_1276",NA
"1251","2018_1243_1277",NA
"1252","2018_1243_1281",NA
"1253","2018_1243_1285",NA
"1254","2018_1243_1293",NA
"1255","2018_1243_1300",NA
"1256","2018_1243_1301",NA
"1257","2018_1243_1305",NA
"1258","2018_1243_1308",NA
"1259","2018_1243_1314",NA
"1260","2018_1243_1326",NA
"1261","2018_1243_1328",NA
"1262","2018_1243_1335",NA
"1263","2018_1243_1344",NA
"1264","2018_1243_1345",NA
"1265","2018_1243_1347",NA
"1266","2018_1243_1348",NA
"1267","2018_1243_1355",NA
"1268","2018_1243_1361",NA
"1269","2018_1243_1371",NA
"1270","2018_1243_1372",NA
"1271","2018_1243_1382",NA
"1272","2018_1243_1393",NA
"1273","2018_1243_1395",NA
"1274","2018_1243_1397",NA
"1275","2018_1243_1400",NA
"1276","2018_1243_1401",NA
"1277","2018_1243_1403",NA
"1278","2018_1243_1411",NA
"1279","2018_1243_1417",NA
"1280","2018_1243_1420",NA
"1281","2018_1243_1422",NA
"1282","2018_1243_1437",NA
"1283","2018_1243_1438",NA
"1284","2018_1243_1439",NA
"1285","2018_1243_1452",NA
"1286","2018_1243_1455",NA
"1287","2018_1243_1460",NA
"1288","2018_1243_1462",NA
"1289","2018_1246_1252",NA
"1290","2018_1246_1254",NA
"1291","2018_1246_1260",NA
"1292","2018_1246_1267",NA
"1293","2018_1246_1274",NA
"1294","2018_1246_1276",NA
"1295","2018_1246_1277",NA
"1296","2018_1246_1281",NA
"1297","2018_1246_1285",NA
"1298","2018_1246_1293",NA
"1299","2018_1246_1300",NA
"1300","2018_1246_1301",NA
"1301","2018_1246_1305",NA
"1302","2018_1246_1308",NA
"1303","2018_1246_1314",NA
"1304","2018_1246_1326",NA
"1305","2018_1246_1328",NA
"1306","2018_1246_1335",NA
"1307","2018_1246_1344",NA
"1308","2018_1246_1345",NA
"1309","2018_1246_1347",NA
"1310","2018_1246_1348",NA
"1311","2018_1246_1355",NA
"1312","2018_1246_1361",NA
"1313","2018_1246_1371",NA
"1314","2018_1246_1372",NA
"1315","2018_1246_1382",NA
"1316","2018_1246_1393",NA
"1317","2018_1246_1395",NA
"1318","2018_1246_1397",NA
"1319","2018_1246_1400",NA
"1320","2018_1246_1401",NA
"1321","2018_1246_1403",NA
"1322","2018_1246_1411",NA
"1323","2018_1246_1417",NA
"1324","2018_1246_1420",NA
"1325","2018_1246_1422",NA
"1326","2018_1246_1437",NA
"1327","2018_1246_1438",NA
"1328","2018_1246_1439",NA
"1329","2018_1246_1452",NA
"1330","2018_1246_1455",NA
"1331","2018_1246_1460",NA
"1332","2018_1246_1462",NA
"1333","2018_1252_1254",NA
"1334","2018_1252_1260",NA
"1335","2018_1252_1267",NA
"1336","2018_1252_1274",NA
"1337","2018_1252_1276",NA
"1338","2018_1252_1277",NA
"1339","2018_1252_1281",NA
"1340","2018_1252_1285",NA
"1341","2018_1252_1293",NA
"1342","2018_1252_1300",NA
"1343","2018_1252_1301",NA
"1344","2018_1252_1305",NA
"1345","2018_1252_1308",NA
"1346","2018_1252_1314",NA
"1347","2018_1252_1326",NA
"1348","2018_1252_1328",NA
"1349","2018_1252_1335",NA
"1350","2018_1252_1344",NA
"1351","2018_1252_1345",NA
"1352","2018_1252_1347",NA
"1353","2018_1252_1348",NA
"1354","2018_1252_1355",NA
"1355","2018_1252_1361",NA
"1356","2018_1252_1371",NA
"1357","2018_1252_1372",NA
"1358","2018_1252_1382",NA
"1359","2018_1252_1393",NA
"1360","2018_1252_1395",NA
"1361","2018_1252_1397",NA
"1362","2018_1252_1400",NA
"1363","2018_1252_1401",NA
"1364","2018_1252_1403",NA
"1365","2018_1252_1411",NA
"1366","2018_1252_1417",NA
"1367","2018_1252_1420",NA
"1368","2018_1252_1422",NA
"1369","2018_1252_1437",NA
"1370","2018_1252_1438",NA
"1371","2018_1252_1439",NA
"1372","2018_1252_1452",NA
"1373","2018_1252_1455",NA
"1374","2018_1252_1460",NA
"1375","2018_1252_1462",NA
"1376","2018_1254_1260",NA
"1377","2018_1254_1267",NA
"1378","2018_1254_1274",NA
"1379","2018_1254_1276",NA
"1380","2018_1254_1277",NA
"1381","2018_1254_1281",NA
"1382","2018_1254_1285",NA
"1383","2018_1254_1293",NA
"1384","2018_1254_1300",NA
"1385","2018_1254_1301",NA
"1386","2018_1254_1305",NA
"1387","2018_1254_1308",NA
"1388","2018_1254_1314",NA
"1389","2018_1254_1326",NA
"1390","2018_1254_1328",NA
"1391","2018_1254_1335",NA
"1392","2018_1254_1344",NA
"1393","2018_1254_1345",NA
"1394","2018_1254_1347",NA
"1395","2018_1254_1348",NA
"1396","2018_1254_1355",NA
"1397","2018_1254_1361",NA
"1398","2018_1254_1371",NA
"1399","2018_1254_1372",NA
"1400","2018_1254_1382",NA
"1401","2018_1254_1393",NA
"1402","2018_1254_1395",NA
"1403","2018_1254_1397",NA
"1404","2018_1254_1400",NA
"1405","2018_1254_1401",NA
"1406","2018_1254_1403",NA
"1407","2018_1254_1411",NA
"1408","2018_1254_1417",NA
"1409","2018_1254_1420",NA
"1410","2018_1254_1422",NA
"1411","2018_1254_1437",NA
"1412","2018_1254_1438",NA
"1413","2018_1254_1439",NA
"1414","2018_1254_1452",NA
"1415","2018_1254_1455",NA
"1416","2018_1254_1460",NA
"1417","2018_1254_1462",NA
"1418","2018_1260_1267",NA
"1419","2018_1260_1274",NA
"1420","2018_1260_1276",NA
"1421","2018_1260_1277",NA
"1422","2018_1260_1281",NA
"1423","2018_1260_1285",NA
"1424","2018_1260_1293",NA
"1425","2018_1260_1300",NA
"1426","2018_1260_1301",NA
"1427","2018_1260_1305",NA
"1428","2018_1260_1308",NA
"1429","2018_1260_1314",NA
"1430","2018_1260_1326",NA
"1431","2018_1260_1328",NA
"1432","2018_1260_1335",NA
"1433","2018_1260_1344",NA
"1434","2018_1260_1345",NA
"1435","2018_1260_1347",NA
"1436","2018_1260_1348",NA
"1437","2018_1260_1355",NA
"1438","2018_1260_1361",NA
"1439","2018_1260_1371",NA
"1440","2018_1260_1372",NA
"1441","2018_1260_1382",NA
"1442","2018_1260_1393",NA
"1443","2018_1260_1395",NA
"1444","2018_1260_1397",NA
"1445","2018_1260_1400",NA
"1446","2018_1260_1401",NA
"1447","2018_1260_1403",NA
"1448","2018_1260_1411",NA
"1449","2018_1260_1417",NA
"1450","2018_1260_1420",NA
"1451","2018_1260_1422",NA
"1452","2018_1260_1437",NA
"1453","2018_1260_1438",NA
"1454","2018_1260_1439",NA
"1455","2018_1260_1452",NA
"1456","2018_1260_1455",NA
"1457","2018_1260_1460",NA
"1458","2018_1260_1462",NA
"1459","2018_1267_1274",NA
"1460","2018_1267_1276",NA
"1461","2018_1267_1277",NA
"1462","2018_1267_1281",NA
"1463","2018_1267_1285",NA
"1464","2018_1267_1293",NA
"1465","2018_1267_1300",NA
"1466","2018_1267_1301",NA
"1467","2018_1267_1305",NA
"1468","2018_1267_1308",NA
"1469","2018_1267_1314",NA
"1470","2018_1267_1326",NA
"1471","2018_1267_1328",NA
"1472","2018_1267_1335",NA
"1473","2018_1267_1344",NA
"1474","2018_1267_1345",NA
"1475","2018_1267_1347",NA
"1476","2018_1267_1348",NA
"1477","2018_1267_1355",NA
"1478","2018_1267_1361",NA
"1479","2018_1267_1371",NA
"1480","2018_1267_1372",NA
"1481","2018_1267_1382",NA
"1482","2018_1267_1393",NA
"1483","2018_1267_1395",NA
"1484","2018_1267_1397",NA
"1485","2018_1267_1400",NA
"1486","2018_1267_1401",NA
"1487","2018_1267_1403",NA
"1488","2018_1267_1411",NA
"1489","2018_1267_1417",NA
"1490","2018_1267_1420",NA
"1491","2018_1267_1422",NA
"1492","2018_1267_1437",NA
"1493","2018_1267_1438",NA
"1494","2018_1267_1439",NA
"1495","2018_1267_1452",NA
"1496","2018_1267_1455",NA
"1497","2018_1267_1460",NA
"1498","2018_1267_1462",NA
"1499","2018_1274_1276",NA
"1500","2018_1274_1277",NA
"1501","2018_1274_1281",NA
"1502","2018_1274_1285",NA
"1503","2018_1274_1293",NA
"1504","2018_1274_1300",NA
"1505","2018_1274_1301",NA
"1506","2018_1274_1305",NA
"1507","2018_1274_1308",NA
"1508","2018_1274_1314",NA
"1509","2018_1274_1326",NA
"1510","2018_1274_1328",NA
"1511","2018_1274_1335",NA
"1512","2018_1274_1344",NA
"1513","2018_1274_1345",NA
"1514","2018_1274_1347",NA
"1515","2018_1274_1348",NA
"1516","2018_1274_1355",NA
"1517","2018_1274_1361",NA
"1518","2018_1274_1371",NA
"1519","2018_1274_1372",NA
"1520","2018_1274_1382",NA
"1521","2018_1274_1393",NA
"1522","2018_1274_1395",NA
"1523","2018_1274_1397",NA
"1524","2018_1274_1400",NA
"1525","2018_1274_1401",NA
"1526","2018_1274_1403",NA
"1527","2018_1274_1411",NA
"1528","2018_1274_1417",NA
"1529","2018_1274_1420",NA
"1530","2018_1274_1422",NA
"1531","2018_1274_1437",NA
"1532","2018_1274_1438",NA
"1533","2018_1274_1439",NA
"1534","2018_1274_1452",NA
"1535","2018_1274_1455",NA
"1536","2018_1274_1460",NA
"1537","2018_1274_1462",NA
"1538","2018_1276_1277",NA
"1539","2018_1276_1281",NA
"1540","2018_1276_1285",NA
"1541","2018_1276_1293",NA
"1542","2018_1276_1300",NA
"1543","2018_1276_1301",NA
"1544","2018_1276_1305",NA
"1545","2018_1276_1308",NA
"1546","2018_1276_1314",NA
"1547","2018_1276_1326",NA
"1548","2018_1276_1328",NA
"1549","2018_1276_1335",NA
"1550","2018_1276_1344",NA
"1551","2018_1276_1345",NA
"1552","2018_1276_1347",NA
"1553","2018_1276_1348",NA
"1554","2018_1276_1355",NA
"1555","2018_1276_1361",NA
"1556","2018_1276_1371",NA
"1557","2018_1276_1372",NA
"1558","2018_1276_1382",NA
"1559","2018_1276_1393",NA
"1560","2018_1276_1395",NA
"1561","2018_1276_1397",NA
"1562","2018_1276_1400",NA
"1563","2018_1276_1401",NA
"1564","2018_1276_1403",NA
"1565","2018_1276_1411",NA
"1566","2018_1276_1417",NA
"1567","2018_1276_1420",NA
"1568","2018_1276_1422",NA
"1569","2018_1276_1437",NA
"1570","2018_1276_1438",NA
"1571","2018_1276_1439",NA
"1572","2018_1276_1452",NA
"1573","2018_1276_1455",NA
"1574","2018_1276_1460",NA
"1575","2018_1276_1462",NA
"1576","2018_1277_1281",NA
"1577","2018_1277_1285",NA
"1578","2018_1277_1293",NA
"1579","2018_1277_1300",NA
"1580","2018_1277_1301",NA
"1581","2018_1277_1305",NA
"1582","2018_1277_1308",NA
"1583","2018_1277_1314",NA
"1584","2018_1277_1326",NA
"1585","2018_1277_1328",NA
"1586","2018_1277_1335",NA
"1587","2018_1277_1344",NA
"1588","2018_1277_1345",NA
"1589","2018_1277_1347",NA
"1590","2018_1277_1348",NA
"1591","2018_1277_1355",NA
"1592","2018_1277_1361",NA
"1593","2018_1277_1371",NA
"1594","2018_1277_1372",NA
"1595","2018_1277_1382",NA
"1596","2018_1277_1393",NA
"1597","2018_1277_1395",NA
"1598","2018_1277_1397",NA
"1599","2018_1277_1400",NA
"1600","2018_1277_1401",NA
"1601","2018_1277_1403",NA
"1602","2018_1277_1411",NA
"1603","2018_1277_1417",NA
"1604","2018_1277_1420",NA
"1605","2018_1277_1422",NA
"1606","2018_1277_1437",NA
"1607","2018_1277_1438",NA
"1608","2018_1277_1439",NA
"1609","2018_1277_1452",NA
"1610","2018_1277_1455",NA
"1611","2018_1277_1460",NA
"1612","2018_1277_1462",NA
"1613","2018_1281_1285",NA
"1614","2018_1281_1293",NA
"1615","2018_1281_1300",NA
"1616","2018_1281_1301",NA
"1617","2018_1281_1305",NA
"1618","2018_1281_1308",NA
"1619","2018_1281_1314",NA
"1620","2018_1281_1326",NA
"1621","2018_1281_1328",NA
"1622","2018_1281_1335",NA
"1623","2018_1281_1344",NA
"1624","2018_1281_1345",NA
"1625","2018_1281_1347",NA
"1626","2018_1281_1348",NA
"1627","2018_1281_1355",NA
"1628","2018_1281_1361",NA
"1629","2018_1281_1371",NA
"1630","2018_1281_1372",NA
"1631","2018_1281_1382",NA
"1632","2018_1281_1393",NA
"1633","2018_1281_1395",NA
"1634","2018_1281_1397",NA
"1635","2018_1281_1400",NA
"1636","2018_1281_1401",NA
"1637","2018_1281_1403",NA
"1638","2018_1281_1411",NA
"1639","2018_1281_1417",NA
"1640","2018_1281_1420",NA
"1641","2018_1281_1422",NA
"1642","2018_1281_1437",NA
"1643","2018_1281_1438",NA
"1644","2018_1281_1439",NA
"1645","2018_1281_1452",NA
"1646","2018_1281_1455",NA
"1647","2018_1281_1460",NA
"1648","2018_1281_1462",NA
"1649","2018_1285_1293",NA
"1650","2018_1285_1300",NA
"1651","2018_1285_1301",NA
"1652","2018_1285_1305",NA
"1653","2018_1285_1308",NA
"1654","2018_1285_1314",NA
"1655","2018_1285_1326",NA
"1656","2018_1285_1328",NA
"1657","2018_1285_1335",NA
"1658","2018_1285_1344",NA
"1659","2018_1285_1345",NA
"1660","2018_1285_1347",NA
"1661","2018_1285_1348",NA
"1662","2018_1285_1355",NA
"1663","2018_1285_1361",NA
"1664","2018_1285_1371",NA
"1665","2018_1285_1372",NA
"1666","2018_1285_1382",NA
"1667","2018_1285_1393",NA
"1668","2018_1285_1395",NA
"1669","2018_1285_1397",NA
"1670","2018_1285_1400",NA
"1671","2018_1285_1401",NA
"1672","2018_1285_1403",NA
"1673","2018_1285_1411",NA
"1674","2018_1285_1417",NA
"1675","2018_1285_1420",NA
"1676","2018_1285_1422",NA
"1677","2018_1285_1437",NA
"1678","2018_1285_1438",NA
"1679","2018_1285_1439",NA
"1680","2018_1285_1452",NA
"1681","2018_1285_1455",NA
"1682","2018_1285_1460",NA
"1683","2018_1285_1462",NA
"1684","2018_1293_1300",NA
"1685","2018_1293_1301",NA
"1686","2018_1293_1305",NA
"1687","2018_1293_1308",NA
"1688","2018_1293_1314",NA
"1689","2018_1293_1326",NA
"1690","2018_1293_1328",NA
"1691","2018_1293_1335",NA
"1692","2018_1293_1344",NA
"1693","2018_1293_1345",NA
"1694","2018_1293_1347",NA
"1695","2018_1293_1348",NA
"1696","2018_1293_1355",NA
"1697","2018_1293_1361",NA
"1698","2018_1293_1371",NA
"1699","2018_1293_1372",NA
"1700","2018_1293_1382",NA
"1701","2018_1293_1393",NA
"1702","2018_1293_1395",NA
"1703","2018_1293_1397",NA
"1704","2018_1293_1400",NA
"1705","2018_1293_1401",NA
"1706","2018_1293_1403",NA
"1707","2018_1293_1411",NA
"1708","2018_1293_1417",NA
"1709","2018_1293_1420",NA
"1710","2018_1293_1422",NA
"1711","2018_1293_1437",NA
"1712","2018_1293_1438",NA
"1713","2018_1293_1439",NA
"1714","2018_1293_1452",NA
"1715","2018_1293_1455",NA
"1716","2018_1293_1460",NA
"1717","2018_1293_1462",NA
"1718","2018_1300_1301",NA
"1719","2018_1300_1305",NA
"1720","2018_1300_1308",NA
"1721","2018_1300_1314",NA
"1722","2018_1300_1326",NA
"1723","2018_1300_1328",NA
"1724","2018_1300_1335",NA
"1725","2018_1300_1344",NA
"1726","2018_1300_1345",NA
"1727","2018_1300_1347",NA
"1728","2018_1300_1348",NA
"1729","2018_1300_1355",NA
"1730","2018_1300_1361",NA
"1731","2018_1300_1371",NA
"1732","2018_1300_1372",NA
"1733","2018_1300_1382",NA
"1734","2018_1300_1393",NA
"1735","2018_1300_1395",NA
"1736","2018_1300_1397",NA
"1737","2018_1300_1400",NA
"1738","2018_1300_1401",NA
"1739","2018_1300_1403",NA
"1740","2018_1300_1411",NA
"1741","2018_1300_1417",NA
"1742","2018_1300_1420",NA
"1743","2018_1300_1422",NA
"1744","2018_1300_1437",NA
"1745","2018_1300_1438",NA
"1746","2018_1300_1439",NA
"1747","2018_1300_1452",NA
"1748","2018_1300_1455",NA
"1749","2018_1300_1460",NA
"1750","2018_1300_1462",NA
"1751","2018_1301_1305",NA
"1752","2018_1301_1308",NA
"1753","2018_1301_1314",NA
"1754","2018_1301_1326",NA
"1755","2018_1301_1328",NA
"1756","2018_1301_1335",NA
"1757","2018_1301_1344",NA
"1758","2018_1301_1345",NA
"1759","2018_1301_1347",NA
"1760","2018_1301_1348",NA
"1761","2018_1301_1355",NA
"1762","2018_1301_1361",NA
"1763","2018_1301_1371",NA
"1764","2018_1301_1372",NA
"1765","2018_1301_1382",NA
"1766","2018_1301_1393",NA
"1767","2018_1301_1395",NA
"1768","2018_1301_1397",NA
"1769","2018_1301_1400",NA
"1770","2018_1301_1401",NA
"1771","2018_1301_1403",NA
"1772","2018_1301_1411",NA
"1773","2018_1301_1417",NA
"1774","2018_1301_1420",NA
"1775","2018_1301_1422",NA
"1776","2018_1301_1437",NA
"1777","2018_1301_1438",NA
"1778","2018_1301_1439",NA
"1779","2018_1301_1452",NA
"1780","2018_1301_1455",NA
"1781","2018_1301_1460",NA
"1782","2018_1301_1462",NA
"1783","2018_1305_1308",NA
"1784","2018_1305_1314",NA
"1785","2018_1305_1326",NA
"1786","2018_1305_1328",NA
"1787","2018_1305_1335",NA
"1788","2018_1305_1344",NA
"1789","2018_1305_1345",NA
"1790","2018_1305_1347",NA
"1791","2018_1305_1348",NA
"1792","2018_1305_1355",NA
"1793","2018_1305_1361",NA
"1794","2018_1305_1371",NA
"1795","2018_1305_1372",NA
"1796","2018_1305_1382",NA
"1797","2018_1305_1393",NA
"1798","2018_1305_1395",NA
"1799","2018_1305_1397",NA
"1800","2018_1305_1400",NA
"1801","2018_1305_1401",NA
"1802","2018_1305_1403",NA
"1803","2018_1305_1411",NA
"1804","2018_1305_1417",NA
"1805","2018_1305_1420",NA
"1806","2018_1305_1422",NA
"1807","2018_1305_1437",NA
"1808","2018_1305_1438",NA
"1809","2018_1305_1439",NA
"1810","2018_1305_1452",NA
